state,party,year,stattype,value
Hessen,CDU,1946,%,0.309
Hessen,SPD,1946,%,0.42700000000000005
Hessen,FDP,1946,%,0.157
Hessen,GRÜNE,1946,%,
Hessen,DIE LINKE,1946,%,
Hessen,PIRATEN,1946,%,
Hessen,AfD,1946,%,
Hessen,REP,1946,%,
Hessen,KPD/DKP¹,1946,%,0.107
Hessen,NPD,1946,%,
Hessen,GB/BHE,1946,%,
Hessen,Sonstige,1946,%,
Hessen,CDU,1950,%,0.188
Hessen,SPD,1950,%,0.444
Hessen,FDP,1950,%,0.318
Hessen,GRÜNE,1950,%,
Hessen,DIE LINKE,1950,%,
Hessen,PIRATEN,1950,%,
Hessen,AfD,1950,%,
Hessen,REP,1950,%,
Hessen,KPD/DKP¹,1950,%,0.047
Hessen,NPD,1950,%,
Hessen,GB/BHE,1950,%,
Hessen,Sonstige,1950,%,0.003
Hessen,CDU,1954,%,0.24100000000000002
Hessen,SPD,1954,%,0.426
Hessen,FDP,1954,%,0.205
Hessen,GRÜNE,1954,%,
Hessen,DIE LINKE,1954,%,
Hessen,PIRATEN,1954,%,
Hessen,AfD,1954,%,
Hessen,REP,1954,%,
Hessen,KPD/DKP¹,1954,%,0.034
Hessen,NPD,1954,%,
Hessen,GB/BHE,1954,%,0.077
Hessen,Sonstige,1954,%,0.017
Hessen,CDU,1958,%,0.32
Hessen,SPD,1958,%,0.469
Hessen,FDP,1958,%,0.095
Hessen,GRÜNE,1958,%,
Hessen,DIE LINKE,1958,%,
Hessen,PIRATEN,1958,%,
Hessen,AfD,1958,%,
Hessen,REP,1958,%,
Hessen,KPD/DKP¹,1958,%,
Hessen,NPD,1958,%,
Hessen,GB/BHE,1958,%,0.07400000000000001
Hessen,Sonstige,1958,%,0.042
Hessen,CDU,1962,%,0.28800000000000003
Hessen,SPD,1962,%,0.508
Hessen,FDP,1962,%,0.114
Hessen,GRÜNE,1962,%,
Hessen,DIE LINKE,1962,%,
Hessen,PIRATEN,1962,%,
Hessen,AfD,1962,%,
Hessen,REP,1962,%,
Hessen,KPD/DKP¹,1962,%,
Hessen,NPD,1962,%,
Hessen,GB/BHE,1962,%,0.063
Hessen,Sonstige,1962,%,0.027000000000000003
Hessen,CDU,1966,%,0.264
Hessen,SPD,1966,%,0.51
Hessen,FDP,1966,%,0.10400000000000001
Hessen,GRÜNE,1966,%,
Hessen,DIE LINKE,1966,%,
Hessen,PIRATEN,1966,%,
Hessen,AfD,1966,%,
Hessen,REP,1966,%,
Hessen,KPD/DKP¹,1966,%,
Hessen,NPD,1966,%,0.079
Hessen,GB/BHE,1966,%,0.043
Hessen,Sonstige,1966,%,
Hessen,CDU,1970,%,0.397
Hessen,SPD,1970,%,0.45899999999999996
Hessen,FDP,1970,%,0.10099999999999999
Hessen,GRÜNE,1970,%,
Hessen,DIE LINKE,1970,%,
Hessen,PIRATEN,1970,%,
Hessen,AfD,1970,%,
Hessen,REP,1970,%,
Hessen,KPD/DKP¹,1970,%,0.012
Hessen,NPD,1970,%,0.03
Hessen,GB/BHE,1970,%,
Hessen,Sonstige,1970,%,0.001
Hessen,CDU,1974,%,0.473
Hessen,SPD,1974,%,0.43200000000000005
Hessen,FDP,1974,%,0.07400000000000001
Hessen,GRÜNE,1974,%,
Hessen,DIE LINKE,1974,%,
Hessen,PIRATEN,1974,%,
Hessen,AfD,1974,%,
Hessen,REP,1974,%,
Hessen,KPD/DKP¹,1974,%,0.009000000000000001
Hessen,NPD,1974,%,0.01
Hessen,GB/BHE,1974,%,
Hessen,Sonstige,1974,%,0.002
Hessen,CDU,1978,%,0.46
Hessen,SPD,1978,%,0.44299999999999995
Hessen,FDP,1978,%,0.066
Hessen,GRÜNE,1978,%,0.02
Hessen,DIE LINKE,1978,%,
Hessen,PIRATEN,1978,%,
Hessen,AfD,1978,%,
Hessen,REP,1978,%,
Hessen,KPD/DKP¹,1978,%,0.004
Hessen,NPD,1978,%,0.004
Hessen,GB/BHE,1978,%,
Hessen,Sonstige,1978,%,0.003
Hessen,CDU,1982,%,0.456
Hessen,SPD,1982,%,0.428
Hessen,FDP,1982,%,0.031
Hessen,GRÜNE,1982,%,0.08
Hessen,DIE LINKE,1982,%,
Hessen,PIRATEN,1982,%,
Hessen,AfD,1982,%,
Hessen,REP,1982,%,
Hessen,KPD/DKP¹,1982,%,0.004
Hessen,NPD,1982,%,
Hessen,GB/BHE,1982,%,
Hessen,Sonstige,1982,%,0.001
Hessen,CDU,1983,%,0.39399999999999996
Hessen,SPD,1983,%,0.462
Hessen,FDP,1983,%,0.076
Hessen,GRÜNE,1983,%,0.059000000000000004
Hessen,DIE LINKE,1983,%,
Hessen,PIRATEN,1983,%,
Hessen,AfD,1983,%,
Hessen,REP,1983,%,
Hessen,KPD/DKP¹,1983,%,0.003
Hessen,NPD,1983,%,
Hessen,GB/BHE,1983,%,
Hessen,Sonstige,1983,%,0.005
Hessen,CDU,1987,%,0.42100000000000004
Hessen,SPD,1987,%,0.402
Hessen,FDP,1987,%,0.078
Hessen,GRÜNE,1987,%,0.094
Hessen,DIE LINKE,1987,%,
Hessen,PIRATEN,1987,%,
Hessen,AfD,1987,%,
Hessen,REP,1987,%,
Hessen,KPD/DKP¹,1987,%,0.003
Hessen,NPD,1987,%,
Hessen,GB/BHE,1987,%,
Hessen,Sonstige,1987,%,0.002
Hessen,CDU,1991,%,0.402
Hessen,SPD,1991,%,0.408
Hessen,FDP,1991,%,0.07400000000000001
Hessen,GRÜNE,1991,%,0.08800000000000001
Hessen,DIE LINKE,1991,%,
Hessen,PIRATEN,1991,%,
Hessen,AfD,1991,%,
Hessen,REP,1991,%,0.017
Hessen,KPD/DKP¹,1991,%,
Hessen,NPD,1991,%,
Hessen,GB/BHE,1991,%,
Hessen,Sonstige,1991,%,0.027999999999999997
Hessen,CDU,1995,%,0.392
Hessen,SPD,1995,%,0.38
Hessen,FDP,1995,%,0.07400000000000001
Hessen,GRÜNE,1995,%,0.11199999999999999
