Source_Page,Table_Index,Party,1990,1990,1994,1994,1999,1999,2004,2004,2009,2009,2014,2014,2019,2019,2024*,2024*
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Brandenburg,1,Wahlbeteiligung,"67,1",88,"56,3",88,"54,3",89,"56,4",88,"67,0",88,"47,9",88,"61,3",88,"72,9",88
Brandenburg,1,SPD,"38,2",36,"54,1",52,"39,3",37,"31,9",33,"33,0",31,"31,9",30,"26,2",25,"30,9",32
Brandenburg,1,CDU,"29,4",27,"18,7",18,"26,6",25,"19,4",20,"19,8",19,"23,0",21,"15,6",15,"12,1",12
Brandenburg,1,DIE LINKE¹,"13,4",13,"18,7",18,"23,3",22,"28,0",29,"27,2",26,"18,6",17,"10,7",10,"3,0",–
Brandenburg,1,B’90/GRÜNE,"9,3²",6,"2,9",–,"1,9",–,"3,6",–,"5,7",5,"6,2",6,"10,8",10,"4,1",–
Brandenburg,1,FDP,"6,6",6,"2,2",–,"1,9",–,"3,3",–,"7,2",7,"1,5",–,"4,1",–,"0,8",–
Brandenburg,1,DVU,–,–,–,–,"5,3",5,"6,1",6,"1,1",–,–,–,–,–,–,–
Brandenburg,1,BVB / FREIE WÄHLER³,–,–,–,–,–,–,–,–,"1,7",–,"2,7",3,"5,0",5,"2,6",–
Brandenburg,1,AfD,–,–,–,–,–,–,–,–,–,–,"12,2",11,"23,5",23,"29,2",30
Brandenburg,1,BSW,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"13,5",14
Brandenburg,1,NPD,–,–,–,–,–,–,–,–,"2,6",–,"2,2",–,–,–,–,–
Brandenburg,1,REP,"1,1",–,"1,1",–,–,–,–,–,"0,4",–,"0,2",–,–,–,–,–
Brandenburg,1,Familie,–,–,–,–,–,–,"2,6",–,–,–,–,–,–,–,–,–
Brandenburg,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,"1,5",–,"0,7",–,–**,–
Brandenburg,1,Tierschutzpartei,–,–,–,–,–,–,–,–,–,–,–,–,"2,6",–,"2,0",–
Brandenburg,1,Sonstige,"1,9",–,"2,2",–,"1,7",–,"5,1",–,"1,5",–,"0,2",–,"0,8",–,"1,8",–
