Source_Page,Table_Index,Party,1946,1946,1950,1950,1954,1954,1958,1958,1962,1962,1966,1966,1970,1970,1974,1974,1978,1978,1982,1982,1983,1983,1987,1987,1991,1991,1995,1995,1999,1999,2003,2003,2008,2008,2009,2009,2013,2013,2018,2018,2023,2023
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Hessen,1,Wahlbe­teiligung,"73,2",90,"64,9",80,"82,4",96,"82,3",96,"77,7",96,"81,0",96,"82,8",110,"84,8",110,"87,7",110,"86,4",110,"83,5",110,"80,3",110,"70,8",110,"66,3",110,"66,4",110,"64,6",110,"64,3",110,"61,0",118,"73,2",110,"67,3",137,"66,0",133
Hessen,1,CDU,"30,9",28,"18,8",12,"24,1",24,"32,0",32,"28,8",28,"26,4",26,"39,7",46,"47,3",53,"46,0",53,"45,6",52,"39,4",44,"42,1",47,"40,2",46,"39,2",45,"43,4",50,"48,8",56,"36,8",42,"37,2",46,"38,3",47,"27,0",40,"34,6",52
Hessen,1,SPD,"42,7",38,"44,4",47,"42,6",44,"46,9",48,"50,8",51,"51,0",52,"45,9",53,"43,2",49,"44,3",50,"42,8",49,"46,2",51,"40,2",44,"40,8",46,"38,0",44,"39,4",46,"29,1",33,"36,7",42,"23,7",29,"30,7",37,"19,8",29,"15,1",23
Hessen,1,FDP,"15,7",14,"31,8",21,"20,5",21,"9,5",9,"11,4",11,"10,4",10,"10,1",11,"7,4",8,"6,6",7,"3,1",–,"7,6",8,"7,8",9,"7,4",8,"7,4",8,"5,1",6,"7,9",9,"9,4",11,"16,2",20,"5,0",6,"7,5",11,"5,0",8
Hessen,1,GRÜNE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,0",–,"8,0",9,"5,9",7,"9,4",10,"8,8",10,"11,2",13,"7,2",8,"10,1",12,"7,5",9,"13,7",17,"11,1",14,"19,8",29,"14,8",22
Hessen,1,DIE LINKE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,1",6,"5,4",6,"5,2",6,"6,3",9,"3,1",–
Hessen,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,5",–,"1,9",–,"0,4",–,"0,3",–
Hessen,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"4,1",–,"13,1",19,"18,4",28
Hessen,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,7",–,"2,0",–,"2,7",–,"1,3",–,"1,0",–,"0,6",–,"0,3",–,–,–,–,–
Hessen,1,KPD/DKP¹,"10,7",10,"4,7",–,"3,4",–,–,–,–,–,–,–,"1,2",–,"0,9",–,"0,4",–,"0,4",–,"0,3",–,"0,3",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,1",–
Hessen,1,NPD,–,–,–,–,–,–,–,–,–,–,"7,9",8,"3,0",–,"1,0",–,"0,4",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,9",–,"0,9",–,"1,1",–,"0,2",–,–,–
Hessen,1,GB/BHE,–,–,–,–,"7,7",7,"7,4",7,"6,3",6,"4,3",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Hessen,1,Sonstige,–,–,"0,3",–,"1,7",–,"4,2",–,"2,7",–,–,–,"0,1",–,"0,2",–,"0,3",–,"0,1",–,"0,5",–,"0,2",–,"2,8",–,"1,9",–,"2,2",–,"2,9",–,"2,5",–,"1,8",–,"2,3",–,"5,9",–,"8,6",–
