Source_Page,Table_Index,Party,1990,1990,1994,1994,1999,1999,2004,2004,2009,2009,2014,2014,2019,2019,2024*,2024*
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Sachsen,1,Wahlbeteiligung,"72,8",160,"58,4",120,"61,1",120,"59,6",124,"52,2",132,"49,2",126,"66,5",119,"74,4",120
Sachsen,1,CDU,"53,8",92,"58,1",77,"56,9",76,"41,1",55,"40,2",58,"39,0",59,"32,1",45,"31,9",41
Sachsen,1,SPD,"19,1",32,"16,6",22,"10,7",14,"9,8",13,"10,4",14,"12,4",18,"7,7",10,"7,3",10
Sachsen,1,PDS¹ /DIE LINKE,"10,2",17,"16,5",21,"22,2",30,"23,6",31,"20,6",29,"18,9",27,"10,4",14,"4,5",6
Sachsen,1,B’90/GRÜNE²,"5,6",10,"4,1",–,"2,6",–,"5,1",6,"6,4",9,"5,7",8,"8,6",12,"5,1",7
Sachsen,1,FDP,"5,3",9,"1,7",–,"1,1",–,"5,9",7,"10,0",14,"3,8",–,"4,5",–,"0,9",–
Sachsen,1,NPD,"0,7",–,–,–,"1,4",–,"9,2",12,"5,6",8,"4,95",–,"0,6",–,–,–
Sachsen,1,AfD,–,–,–,–,–,–,–,–,–,–,"9,7",14,"27,5",38,"30,6",40
Sachsen,1,FREIE WÄHLER,–,–,–,–,–,–,–,–,–,–,"1,6",–,"3,4",–,"2,3",1
Sachsen,1,BSW,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"11,8",15
Sachsen,1,REP,–,–,"1,3",–,"1,5",–,–,–,"0,2",–,–,–,–,–,–,–
Sachsen,1,DSU,"3,6",–,"0,6",–,"0,4",–,"0,5",–,"0,2",–,"0,2",–,–,–,–,–
Sachsen,1,Pro DM,–,–,–,–,"2,1",–,–,–,–,–,–,–,–,–,–,–
Sachsen,1,Die Tierschutzpartei,–,–,–,–,–,–,"1,6",–,"2,1",–,"1,1",–,"1,5",–,–,–
Sachsen,1,PIRATEN,–,–,–,–,–,–,–,–,"1,9",–,"1,1",–,"0,3",–,"0,3",–
Sachsen,1,Sonstige,"1,7",–,"1,1",–,"1,1",–,"3,1",–,"2,5",–,,–,,–,"5,3",–
