Source_Page,Table_Index,Party,1947,1947,1950,1950,1954,1954,1958,1958,1962,1962,1967,1967,1971,1971,1975,1975,1979,1979,1983,1983,1987,1987,1988,1988,1992,1992,1996,1996,2000,2000,2005,2005,2009,2009,2012,2012,2017,2017,2022,2022
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Schleswig-Holstein,1,Wahlbe­teiligung,"69,8",70,"78,2",69,"78,6",69,"78,7",69,"70,1",69,"74,1",73,"79,2",73,"82,3",73,"83,3",73,"84,8",74,"76,6",74,"77,4",74,"71,7",89,"71,8",75,"69,5",89,"66,5",69,"73,6",95,"60,2",69,"64,2",73,"60,4",69
Schleswig-Holstein,1,CDU,"34,1",21,"19,8",16,"32,2",25,"44,4",33,"45,0",34,"46,0",34,"51,9",40,"50,4",37,"48,3",37,"49,0",39,"42,6",33,"33,3",27,"33,8",32,"37,2",30,"35,2",33,"40,2",30,"31,5",34,"30,8",22,"32,0",25,"43,4",34
Schleswig-Holstein,1,SPD,"43,8",43,"27,5",19,"33,2",25,"35,9",26,"39,2",29,"39,4",30,"41,0",32,"40,1",30,"41,7",31,"43,7",34,"45,2",36,"54,8",46,"46,2",45,"39,8",33,"43,1",41,"38,7",29,"25,4",25,"30,4",22,"27,2",21,"16,0",12
Schleswig-Holstein,1,FDP,"5,0",,"7,1",8,"7,5",5,"5,4",3,"7,9",5,"5,9",4,"3,8",–,"7,1",5,"5,7",4,"2,2",–,"5,2",4,"4,4",–,"5,6",5,"5,7",4,"7,6",7,"6,6",4,"14,9",14,"8,2",6,"11,5",9,"6,4",5
Schleswig-Holstein,1,SSV/SSW4,"9,3",6,"5,5",4,"3,5",–,"2,8",2,"2,3",1,"1,9",1,"1,4",1,"1,4",1,"1,4",1,"1,3",1,"1,5",1,"1,7",1,"1,9",1,"2,5",2,"4,1",3,"3,6",2,"4,3",4,"4,6",3,"3,3",3,"5,7",4
Schleswig-Holstein,1,GRÜNE,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"2,4",–,"3,6",–,"3,9",–,"2,9",–,"4,97",–,"8,1",6,"6,2",5,"6,2",4,"12,4",12,"13,2",10,"12,9",10,"18,3",14
Schleswig-Holstein,1,DIE LINKE5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,4",–,"0,8",–,"6,0",6,"2,3",–,"3,8",–,"1,7",–
Schleswig-Holstein,1,DRP/NPD²,"3,0",–,"2,8",–,"1,5",–,"1,1",–,–,–,"5,8",4,"1,3",–,"0,5",–,"0,2",–,–,–,–,–,"1,2",–,–,–,–,–,"1,0",–,"1,9",–,"0,9",–,"0,7",–,–,–,–,–
Schleswig-Holstein,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"1,8",–,"8,2",6,"1,2",–,"0,3",–
Schleswig-Holstein,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"5,9",5,"4,4",–
Schleswig-Holstein,1,GB/BHE,–,–,"23,4",15,"14,0",10,"6,9",5,"4,2",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Schleswig-Holstein,1,DP³,–,–,"9,6",7,"5,1",4,"2,8",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Schleswig-Holstein,1,KPD/DKP¹,"4,7",–,"2,2",–,"2,1",–,–,–,–,–,–,–,"0,4",–,"0,4",–,"0,2",–,"0,1",–,–,–,"0,1",–,–,–,–,–,–,–,"0,1",–,–,–,–,–,–,–,–,–
Schleswig-Holstein,1,REP,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"0,6",–,"1,2",–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Schleswig-Holstein,1,DVU,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"6,3",6,"4,3",–,–,–,–,–,–,–,–,–,–,–,–,–
Schleswig-Holstein,1,Sonstige,"0,2",–,"2,1",–,"0,9",–,"0,7",–,"1,4",–,"1,0",–,"0,2",–,–,–,–,–,"0,1",–,"1,6",–,"1,0",–,"0,1",–,"2,4",–,"1,3",–,"1,9",–,"2,6",–,"1,7",–,"2,3",–,"3,8",–
